customer_id,signup_date,country_code,region,is_b2b,plan_tier
C100000,2025-11-24,USA,Midwest,0,Free
C100001,2025-02-22,GBR,England,0,Free
C100002,2025-02-17,USA,Northeast,0,Plus
C100003,2025-12-26,CAN,Quebec,0,Free
C100004,2025-01-04,AUS,VIC,0,Free
C100005,2025-03-21,USA,Midwest,0,Free
C100006,2025-07-03,AUS,QLD,0,Plus
C100007,2025-10-02,USA,West,1,Free
C100008,2025-11-18,GBR,Wales,0,Plus
C100009,2025-01-24,GBR,Wales,0,Plus
C100010,2025-02-21,USA,West,0,Free
C100011,2025-07-09,USA,Midwest,0,Plus
C100012,2025-02-06,GBR,Scotland,0,Free
C100013,2025-08-25,USA,South,0,Plus
C100014,2025-01-29,USA,Northeast,0,Free
C100015,2025-02-03,USA,Midwest,0,Free
C100016,2025-11-26,CAN,BC,0,Plus
C100017,2025-10-03,USA,West,0,Free
C100018,2025-04-23,DEU,Berlin,0,Free
C100019,2025-01-25,DEU,Berlin,0,Plus
C100020,2025-08-05,GBR,NI,0,Pro
C100021,2025-09-28,USA,Northeast,0,Free
C100022,2025-10-02,AUS,QLD,0,Free
C100023,2025-08-21,USA,Midwest,0,Plus
C100024,2025-09-17,DEU,Hesse,0,Free
C100025,2025-04-12,USA,South,0,Plus
C100026,2025-09-29,DEU,Hesse,0,Free
C100027,2025-07-05,DEU,Hesse,0,Free
C100028,2025-10-18,DEU,Bavaria,0,Plus
C100029,2025-09-30,AUS,VIC,0,Pro
C100030,2025-03-26,USA,West,0,Pro
C100031,2025-12-20,USA,Midwest,0,Plus
C100032,2025-07-11,CAN,Alberta,0,Free
C100033,2025-06-23,USA,South,0,Free
C100034,2025-12-29,GBR,Scotland,1,Free
C100035,2025-06-19,USA,South,0,Free
C100036,2025-10-04,USA,West,0,Free
C100037,2025-07-28,USA,Northeast,0,Free
C100038,2025-07-30,CAN,Ontario,0,Pro
C100039,2025-02-20,USA,Midwest,0,Free
C100040,2025-04-09,USA,West,0,Free
C100041,2025-08-25,USA,Northeast,0,Plus
C100042,2025-10-09,USA,Northeast,0,Pro
C100043,2025-05-02,USA,West,0,Plus
C100044,2025-01-31,USA,Northeast,0,Free
C100045,2025-08-21,USA,West,0,Free
C100046,2025-01-30,GBR,England,0,Free
C100047,2025-10-27,CAN,Quebec,1,Free
C100048,2025-04-06,USA,Northeast,0,Free
C100049,2025-03-03,DEU,Berlin,0,Free
C100050,2025-02-11,USA,Midwest,0,Free
C100051,2025-06-10,USA,West,0,Plus
C100052,2025-08-23,USA,Northeast,1,Plus
C100053,2025-10-16,DEU,Bavaria,0,Free
C100054,2025-03-09,DEU,Bavaria,0,Free
C100055,2025-03-22,CAN,BC,0,Pro
C100056,2025-12-01,CAN,BC,0,Free
C100057,2025-03-10,USA,Northeast,0,Free
C100058,2025-05-25,GBR,Wales,0,Plus
C100059,2025-05-16,CAN,BC,0,Plus
C100060,2025-02-17,GBR,Wales,1,Free
C100061,2025-03-08,GBR,Wales,0,Free
C100062,2025-12-28,USA,Northeast,0,Pro
C100063,2025-12-20,DEU,Bavaria,0,Free
C100064,2025-03-17,CAN,Ontario,0,Plus
C100065,2025-01-21,DEU,Berlin,0,Plus
C100066,2025-07-01,AUS,WA,0,Plus
C100067,2025-05-02,DEU,Berlin,0,Free
C100068,2025-06-20,AUS,WA,0,Plus
C100069,2025-05-08,USA,Northeast,0,Free
C100070,2025-08-29,USA,West,0,Plus
C100071,2025-04-27,USA,South,0,Free
C100072,2025-02-05,DEU,Hesse,0,Free
C100073,2025-12-14,DEU,Hesse,0,Free
C100074,2025-05-14,USA,Midwest,1,Free
C100075,2025-06-26,AUS,QLD,0,Pro
C100076,2025-03-01,USA,South,0,Plus
C100077,2025-01-01,CAN,Quebec,0,Free
C100078,2025-12-07,DEU,Hesse,0,Free
C100079,2025-06-03,CAN,Alberta,0,Plus
C100080,2025-10-11,USA,West,0,Free
C100081,2025-03-31,GBR,Wales,0,Plus
C100082,2025-06-05,USA,West,0,Plus
C100083,2025-06-14,CAN,Alberta,0,Free
C100084,2025-03-28,GBR,Wales,0,Plus
C100085,2025-06-21,USA,South,0,Free
C100086,2025-04-12,USA,Northeast,0,Free
C100087,2025-02-07,CAN,Quebec,0,Free
C100088,2025-07-24,USA,Northeast,0,Plus
C100089,2025-02-24,AUS,VIC,0,Pro
C100090,2025-09-23,CAN,Quebec,0,Free
C100091,2025-03-10,AUS,QLD,0,Plus
C100092,2025-11-10,AUS,WA,0,Free
C100093,2025-03-23,AUS,WA,0,Plus
C100094,2025-11-23,USA,West,0,Free
C100095,2025-02-09,GBR,Scotland,0,Free
C100096,2025-10-04,USA,South,0,Plus
C100097,2025-12-28,USA,West,0,Free
C100098,2025-08-01,USA,West,0,Plus
C100099,2025-12-23,USA,West,0,Pro
C100100,2025-06-02,AUS,WA,0,Plus
C100101,2025-11-05,DEU,NRW,0,Free
C100102,2025-01-15,USA,West,0,Plus
C100103,2025-03-07,DEU,Bavaria,0,Free
C100104,2025-12-06,USA,West,0,Free
C100105,2025-01-26,USA,Midwest,0,Free
C100106,2025-07-14,USA,West,0,Free
C100107,2025-01-10,AUS,NSW,0,Free
C100108,2025-11-29,USA,Northeast,0,Pro
C100109,2025-04-13,AUS,VIC,0,Free
C100110,2025-02-28,CAN,Quebec,0,Free
C100111,2025-07-08,USA,Northeast,0,Free
C100112,2025-06-09,USA,Northeast,0,Free
C100113,2025-07-12,USA,South,1,Plus
C100114,2025-11-18,USA,Midwest,0,Plus
C100115,2025-03-03,AUS,NSW,0,Free
C100116,2025-07-09,USA,Midwest,1,Free
C100117,2025-09-08,USA,Midwest,0,Plus
C100118,2025-12-29,USA,South,0,Pro
C100119,2025-05-19,GBR,NI,0,Plus
C100120,2025-10-31,USA,South,0,Free
C100121,2025-08-19,USA,West,0,Plus
C100122,2025-06-22,USA,Midwest,0,Free
C100123,2025-05-13,USA,Midwest,0,Free
C100124,2025-04-08,USA,West,0,Plus
C100125,2025-12-20,CAN,Alberta,0,Free
C100126,2025-05-31,USA,South,0,Free
C100127,2025-08-31,CAN,BC,0,Plus
C100128,2025-06-19,USA,West,0,Free
C100129,2025-03-03,AUS,QLD,0,Free
