order_item_id,order_id,product_id,quantity,list_price,discount_pct,unit_price
O700000-1,O700000,P10304,1,35.5,0.0,35.05
O700001-1,O700001,P10014,1,68.49,0.15,58.64
O700001-2,O700001,P10394,2,11.97,0.2,9.5
O700002-1,O700002,P10345,1,34.0,0.0,34.22
O700003-1,O700003,P10235,1,14.67,0.1,13.43
O700004-1,O700004,P10403,1,38.61,0.0,38.97
O700004-2,O700004,P10412,2,18.33,0.0,17.98
O700005-1,O700005,P10244,1,16.57,0.0,16.36
O700006-1,O700006,P10152,1,21.97,0.15,18.51
O700006-2,O700006,P10368,1,15.45,0.1,13.97
O700007-1,O700007,P10071,1,16.49,0.0,16.78
O700007-2,O700007,P10338,1,26.23,0.0,25.89
O700008-1,O700008,P10447,1,20.73,0.1,18.59
O700008-2,O700008,P10205,1,23.02,0.1,20.51
O700008-3,O700008,P10034,3,18.93,0.1,16.9
O700009-1,O700009,P10440,2,12.38,0.0,12.27
O700010-1,O700010,P10337,1,31.67,0.0,31.14
O700011-1,O700011,P10065,1,25.54,0.0,25.55
O700012-1,O700012,P10352,1,17.32,0.0,17.56
O700012-2,O700012,P10150,2,35.08,0.0,34.62
O700013-1,O700013,P10433,1,52.06,0.1,46.3
O700014-1,O700014,P10227,1,17.46,0.1,15.57
O700014-2,O700014,P10135,1,13.89,0.2,11.31
O700015-1,O700015,P10058,1,23.66,0.0,23.5
O700015-2,O700015,P10166,1,16.56,0.0,16.4
O700016-1,O700016,P10065,1,25.54,0.0,25.99
O700016-2,O700016,P10416,1,19.07,0.0,18.72
O700017-1,O700017,P10137,2,12.7,0.0,12.46
O700017-2,O700017,P10304,1,35.5,0.0,35.51
O700018-1,O700018,P10156,2,40.12,0.0,39.86
O700019-1,O700019,P10245,1,44.07,0.05,42.22
O700019-2,O700019,P10320,2,62.18,0.2,50.42
O700020-1,O700020,P10138,1,21.2,0.0,21.4
O700021-1,O700021,P10027,1,25.94,0.0,26.24
O700022-1,O700022,P10092,2,17.94,0.05,16.96
O700023-1,O700023,P10195,1,12.75,0.0,12.94
O700023-2,O700023,P10337,1,31.67,0.0,32.24
O700024-1,O700024,P10177,1,10.89,0.0,10.98
O700024-2,O700024,P10329,1,9.49,0.15,8.16
O700025-1,O700025,P10318,1,30.55,0.0,30.0
O700026-1,O700026,P10383,2,18.39,0.1,16.78
O700026-2,O700026,P10133,1,21.43,0.05,20.27
O700027-1,O700027,P10158,2,9.36,0.2,7.4
O700028-1,O700028,P10222,1,63.32,0.0,62.99
O700028-2,O700028,P10354,3,15.68,0.0,15.86
O700029-1,O700029,P10090,1,29.7,0.2,23.97
O700029-2,O700029,P10126,1,29.59,0.2,24.06
O700029-3,O700029,P10298,1,18.45,0.0,18.45
O700030-1,O700030,P10127,1,41.08,0.0,41.41
O700030-2,O700030,P10252,1,12.33,0.0,12.38
O700030-3,O700030,P10069,1,9.67,0.0,9.68
O700031-1,O700031,P10410,2,9.02,0.0,9.02
O700031-2,O700031,P10433,1,52.06,0.0,52.91
O700032-1,O700032,P10205,1,23.02,0.0,23.08
O700033-1,O700033,P10367,1,18.86,0.0,19.21
O700033-2,O700033,P10072,1,15.73,0.0,15.52
O700033-3,O700033,P10238,1,30.55,0.0,31.02
O700034-1,O700034,P10154,2,8.26,0.0,8.23
O700034-2,O700034,P10369,1,22.82,0.0,22.49
O700035-1,O700035,P10098,1,28.5,0.0,28.44
O700036-1,O700036,P10114,2,31.33,0.0,31.77
O700037-1,O700037,P10377,1,19.18,0.15,16.27
O700038-1,O700038,P10249,3,22.38,0.2,17.79
O700039-1,O700039,P10376,1,28.54,0.0,28.57
O700040-1,O700040,P10066,2,31.97,0.0,32.41
O700040-2,O700040,P10184,1,18.48,0.0,18.67
O700041-1,O700041,P10281,1,23.78,0.0,23.81
O700041-2,O700041,P10101,2,30.53,0.0,30.38
O700041-3,O700041,P10199,1,20.99,0.0,20.59
O700042-1,O700042,P10114,1,31.33,0.0,31.88
O700042-2,O700042,P10011,1,19.23,0.15,16.6
O700043-1,O700043,P10326,2,10.41,0.05,9.79
O700043-2,O700043,P10141,1,22.07,0.1,19.95
O700044-1,O700044,P10385,2,5.83,0.0,5.79
O700044-2,O700044,P10179,1,94.48,0.0,95.62
O700045-1,O700045,P10219,1,15.59,0.0,15.82
O700046-1,O700046,P10030,1,30.33,0.0,30.2
O700047-1,O700047,P10222,2,63.32,0.0,62.43
O700048-1,O700048,P10213,1,17.97,0.1,15.9
O700048-2,O700048,P10270,1,9.27,0.05,8.87
O700049-1,O700049,P10304,1,35.5,0.15,30.66
O700049-2,O700049,P10030,2,30.33,0.0,30.44
O700050-1,O700050,P10413,1,35.5,0.2,28.38
O700051-1,O700051,P10185,1,28.07,0.0,28.02
O700052-1,O700052,P10309,1,13.63,0.0,13.7
O700052-2,O700052,P10168,1,22.23,0.0,22.37
O700053-1,O700053,P10448,1,8.7,0.05,8.42
O700054-1,O700054,P10261,1,15.72,0.2,12.69
O700054-2,O700054,P10443,1,39.42,0.2,31.98
O700054-3,O700054,P10180,1,20.7,0.2,16.66
O700055-1,O700055,P10090,1,29.7,0.1,26.85
O700055-2,O700055,P10393,2,27.68,0.1,24.95
O700055-3,O700055,P10003,1,11.98,0.1,10.79
O700056-1,O700056,P10336,1,13.26,0.05,12.5
O700056-2,O700056,P10412,1,18.33,0.15,15.49
