order_id,customer_id,order_ts,channel,traffic_source,campaign,payment_method,shipping_method,order_status,seller_id
O700000,C104687,2025-08-29 16:24:04,android,paid_social,none,card,expedited,completed,S50572
O700001,C101315,2025-09-29 08:07:20,web,direct,summer_splash,paypal,standard,completed,S50691
O700002,C106702,2025-01-22 03:29:29,android,paid_search,none,card,standard,completed,S50757
O700003,C105284,2025-10-18 08:01:43,ios,organic,holiday_push,card,expedited,completed,S50387
O700004,C107037,2025-06-25 20:07:38,android,direct,always_on,apple_pay,expedited,completed,
O700005,C101984,2025-01-17 21:05:30,ios,paid_social,always_on,card,standard,completed,
O700006,C105719,2025-12-15 06:57:26,web,organic,holiday_push,card,standard,completed,
O700007,C102202,2025-10-08 09:05:17,ios,referral,none,klarna,standard,completed,
O700008,C106707,2025-03-08 13:26:03,android,organic,spring_sale,paypal,expedited,returned,
O700009,C102027,2025-11-30 01:05:53,ios,direct,none,google_pay,standard,completed,S50744
O700010,C103639,2025-05-25 15:56:53,ios,paid_social,fall_event,card,standard,completed,S50476
O700011,C100325,2025-02-05 01:20:05,web,direct,holiday_push,card,expedited,completed,
O700012,C102518,2025-10-28 23:46:18,web,referral,none,card,standard,completed,S50347
O700013,C100252,2025-05-26 20:41:46,ios,direct,spring_sale,card,overnight,completed,S50938
O700014,C100239,2025-06-28 13:29:18,android,email,fall_event,card,standard,completed,S50031
O700015,C102720,2025-07-26 00:45:55,ios,email,none,card,expedited,returned,S50471
O700016,C105308,2025-06-06 11:40:58,android,email,none,apple_pay,standard,completed,S50877
O700017,C105506,2025-01-08 21:12:05,ios,direct,none,paypal,standard,completed,
O700018,C101349,2025-11-16 16:26:41,android,direct,none,card,expedited,completed,S51066
O700019,C104842,2025-05-12 22:40:08,web,paid_social,spring_sale,card,standard,completed,S50533
O700020,C107325,2025-05-23 19:58:39,web,paid_search,none,card,standard,cancelled,S50959
O700021,C104077,2025-11-13 18:48:38,web,email,always_on,card,standard,completed,
O700022,C105185,2025-07-03 03:01:51,ios,organic,holiday_push,google_pay,standard,completed,
O700023,C106788,2025-12-30 14:06:14,ios,paid_search,none,card,standard,cancelled,S50239
O700024,C107357,2025-09-05 07:52:37,android,direct,summer_splash,card,standard,completed,
O700025,C102788,2025-07-01 00:43:15,ios,organic,none,card,standard,completed,S50088
O700026,C105813,2025-10-30 18:23:12,android,email,fall_event,card,overnight,completed,
O700027,C103045,2025-01-07 06:33:20,ios,email,spring_sale,apple_pay,standard,cancelled,S51033
O700028,C102158,2025-11-09 00:31:20,web,referral,none,google_pay,standard,completed,S50243
O700029,C102286,2025-04-07 17:58:31,web,direct,holiday_push,google_pay,expedited,completed,
O700030,C104548,2025-08-08 16:05:47,android,paid_search,none,google_pay,standard,completed,
O700031,C101399,2025-01-30 16:40:56,ios,referral,none,apple_pay,expedited,completed,S50510
O700032,C106657,2025-07-27 00:21:02,ios,direct,always_on,paypal,standard,completed,
O700033,C104085,2025-07-22 09:29:34,web,referral,none,google_pay,standard,completed,
O700034,C101083,2025-08-09 03:48:37,web,organic,none,card,standard,completed,S50368
O700035,C100745,2025-12-29 19:18:40,ios,paid_search,none,card,standard,completed,
O700036,C102248,2025-06-30 06:55:28,android,referral,none,klarna,standard,completed,S50622
O700037,C105485,2025-12-13 16:03:44,android,direct,spring_sale,card,standard,completed,S50695
O700038,C106174,2025-04-21 03:48:41,ios,organic,summer_splash,card,standard,completed,
O700039,C106938,2025-04-14 10:45:19,web,direct,none,klarna,standard,completed,S50873
O700040,C104985,2025-07-29 01:36:36,web,email,none,card,expedited,completed,S50327
O700041,C101790,2025-10-13 12:00:07,web,direct,none,paypal,standard,completed,S50476
O700042,C100981,2025-05-12 10:42:43,ios,email,fall_event,card,standard,completed,S51138
O700043,C106536,2025-02-23 22:29:58,web,email,spring_sale,card,standard,completed,S51055
O700044,C101220,2025-11-05 23:30:19,ios,paid_search,always_on,card,expedited,completed,S50623
O700045,C102527,2025-04-24 19:09:51,android,direct,none,card,standard,completed,
O700046,C102736,2025-01-01 01:15:30,android,direct,none,card,expedited,completed,
O700047,C103705,2025-04-17 07:54:38,android,paid_social,none,card,standard,completed,
O700048,C102588,2025-08-12 15:08:12,ios,direct,summer_splash,paypal,standard,completed,
O700049,C106099,2025-09-11 17:15:37,web,paid_social,spring_sale,apple_pay,standard,completed,
O700050,C102682,2025-07-31 18:35:45,android,referral,holiday_push,google_pay,standard,returned,S51065
O700051,C106404,2025-03-25 15:13:27,android,paid_social,none,apple_pay,standard,completed,
O700052,C106239,2025-05-09 12:25:02,ios,referral,always_on,card,standard,completed,
O700053,C105147,2025-03-28 06:35:50,ios,paid_search,fall_event,google_pay,standard,completed,
O700054,C105799,2025-01-06 02:28:41,android,direct,summer_splash,apple_pay,standard,completed,S50558
O700055,C105313,2025-05-17 08:10:53,web,direct,fall_event,apple_pay,standard,completed,S50553
O700056,C103155,2025-12-26 22:51:31,ios,direct,holiday_push,klarna,standard,completed,
O700057,C104399,2025-02-13 12:25:45,android,direct,summer_splash,card,expedited,completed,
O700058,C103482,2025-08-01 04:22:46,web,direct,always_on,card,standard,completed,
O700059,C102556,2025-08-26 20:44:05,android,referral,none,paypal,standard,completed,
O700060,C103630,2025-02-17 23:13:26,web,paid_social,always_on,paypal,standard,completed,
O700061,C100451,2025-01-14 22:34:54,web,paid_search,fall_event,apple_pay,standard,completed,
O700062,C102577,2025-09-23 06:45:38,android,paid_social,always_on,klarna,standard,completed,
O700063,C107387,2025-06-02 11:23:08,web,paid_social,none,card,standard,completed,
O700064,C103695,2025-06-17 21:41:27,web,referral,none,paypal,standard,completed,S50086
O700065,C103511,2025-09-30 23:57:18,ios,direct,none,card,standard,completed,S50627
O700066,C103244,2025-08-30 22:25:50,ios,email,fall_event,paypal,overnight,completed,
O700067,C106237,2025-04-09 20:33:15,web,paid_social,none,card,expedited,completed,
O700068,C100733,2025-11-11 06:22:07,web,referral,spring_sale,card,standard,completed,
O700069,C104117,2025-09-03 04:53:34,android,paid_search,none,card,expedited,completed,S50083
O700070,C105550,2025-07-08 22:38:04,web,referral,none,card,overnight,completed,
O700071,C100138,2025-02-10 07:18:08,web,email,none,google_pay,standard,returned,S50401
O700072,C102179,2025-10-22 12:06:04,ios,organic,none,apple_pay,standard,completed,
O700073,C107817,2025-12-25 20:42:57,web,paid_social,none,google_pay,expedited,cancelled,
O700074,C103445,2025-09-24 00:29:41,web,paid_search,none,card,expedited,completed,S50788
O700075,C101602,2025-12-02 09:42:43,android,referral,spring_sale,card,standard,completed,S50402
O700076,C106316,2025-06-26 15:43:49,ios,referral,none,google_pay,standard,cancelled,
O700077,C105742,2025-06-19 11:44:57,web,paid_search,none,klarna,standard,completed,S50681
O700078,C103027,2025-04-12 20:38:12,web,organic,holiday_push,card,standard,completed,
O700079,C102951,2025-03-21 02:38:23,android,direct,always_on,google_pay,standard,completed,
O700080,C100114,2025-01-17 18:44:32,ios,direct,always_on,card,overnight,completed,
O700081,C107868,2025-10-06 01:38:29,web,organic,spring_sale,card,standard,completed,
O700082,C104263,2025-08-23 20:04:09,web,paid_social,none,card,overnight,completed,
O700083,C101988,2025-12-30 14:03:51,web,email,holiday_push,google_pay,standard,cancelled,
O700084,C100848,2025-01-05 21:12:51,web,direct,holiday_push,card,standard,returned,S50739
O700085,C106251,2025-12-21 20:32:02,ios,paid_search,summer_splash,card,expedited,completed,S50523
O700086,C106971,2025-06-07 18:45:16,android,email,holiday_push,card,expedited,completed,
O700087,C100494,2025-01-01 02:48:14,web,organic,always_on,paypal,standard,completed,
O700088,C103806,2025-05-06 06:47:58,web,paid_social,fall_event,paypal,expedited,cancelled,S50629
O700089,C105426,2025-11-05 23:24:59,web,direct,none,klarna,standard,cancelled,S50752
O700090,C104298,2025-11-25 02:30:03,web,email,spring_sale,card,standard,cancelled,
O700091,C104520,2025-06-09 21:35:19,web,paid_search,none,klarna,standard,completed,S50196
O700092,C106364,2025-09-26 17:27:34,android,paid_search,none,paypal,standard,completed,
O700093,C105889,2025-05-15 05:18:05,web,organic,none,paypal,expedited,completed,S50743
O700094,C100539,2025-05-25 15:26:52,web,referral,always_on,card,standard,completed,
O700095,C105055,2025-03-12 04:50:50,android,email,none,klarna,standard,completed,
O700096,C107914,2025-09-23 16:22:46,ios,direct,spring_sale,card,standard,completed,S50031
O700097,C100215,2025-01-21 16:07:30,web,organic,none,card,expedited,completed,S50376
O700098,C106457,2025-09-05 00:17:56,ios,referral,fall_event,card,overnight,completed,
O700099,C105090,2025-12-07 17:10:22,web,organic,summer_splash,card,expedited,completed,
O700100,C103716,2025-03-07 08:44:01,ios,paid_social,none,google_pay,standard,completed,S50372
O700101,C105930,2025-06-04 12:20:22,android,direct,none,card,overnight,completed,S50575
O700102,C104252,2025-12-10 00:50:22,web,direct,none,paypal,standard,completed,S50628
O700103,C102133,2025-09-18 21:55:55,web,direct,holiday_push,card,expedited,completed,S50106
O700104,C100956,2025-03-03 19:36:30,ios,direct,none,card,standard,completed,S50912
O700105,C106069,2025-05-30 13:38:58,ios,referral,none,card,standard,cancelled,
O700106,C103589,2025-11-02 16:37:50,ios,organic,none,card,standard,completed,
O700107,C102147,2025-02-23 05:30:38,web,paid_search,none,klarna,standard,completed,S50917
O700108,C102674,2025-02-23 18:08:02,web,direct,holiday_push,paypal,standard,completed,
O700109,C101041,2025-01-27 10:01:11,web,email,holiday_push,card,expedited,completed,S50126
O700110,C106019,2025-10-21 12:28:08,web,organic,none,google_pay,standard,completed,S50711
O700111,C105513,2025-06-21 19:41:51,ios,paid_search,none,card,standard,completed,S50055
O700112,C106117,2025-01-18 10:49:50,web,organic,holiday_push,apple_pay,standard,returned,
O700113,C107263,2025-12-20 23:20:36,web,email,none,google_pay,standard,completed,S50212
O700114,C105628,2025-10-25 05:28:32,android,paid_search,always_on,card,standard,cancelled,S50552
O700115,C103001,2025-06-16 22:58:26,web,referral,spring_sale,card,standard,completed,S50609
O700116,C100413,2025-03-18 22:14:07,android,paid_search,spring_sale,paypal,standard,cancelled,
O700117,C100078,2025-05-31 19:33:44,android,referral,none,google_pay,expedited,completed,S50804
O700118,C100630,2025-09-09 18:31:13,web,email,none,card,standard,completed,
O700119,C101071,2025-11-07 05:10:16,android,paid_social,none,card,standard,completed,
O700120,C101325,2025-03-23 09:24:22,android,email,none,google_pay,expedited,returned,S50886
O700121,C103324,2025-07-15 23:27:49,ios,email,fall_event,card,standard,completed,S50381
O700122,C105069,2025-03-21 20:24:01,web,paid_search,summer_splash,google_pay,standard,completed,
O700123,C104741,2025-03-31 22:58:08,web,paid_social,none,card,expedited,completed,S51021
O700124,C104184,2025-04-20 05:08:41,android,email,none,card,standard,completed,
O700125,C103411,2025-02-08 18:14:50,web,referral,none,apple_pay,expedited,completed,S50425
O700126,C102201,2025-06-04 11:59:23,android,paid_social,fall_event,card,standard,completed,S50991
O700127,C101950,2025-03-16 11:39:14,web,direct,summer_splash,card,standard,completed,
O700128,C102770,2025-12-26 02:29:37,web,direct,none,paypal,standard,cancelled,
O700129,C101738,2025-03-10 23:58:11,web,direct,always_on,card,expedited,completed,
O700130,C107678,2025-04-22 15:45:05,ios,direct,none,paypal,standard,cancelled,S50861
O700131,C103378,2025-10-27 16:07:21,web,direct,none,apple_pay,standard,completed,
O700132,C101614,2025-12-15 09:10:22,android,email,summer_splash,card,standard,completed,S50556
O700133,C106636,2025-10-30 17:27:38,web,direct,spring_sale,card,standard,completed,S50908
O700134,C104840,2025-07-07 19:40:37,web,paid_search,always_on,paypal,standard,completed,S50643
O700135,C105326,2025-08-07 07:20:44,android,email,spring_sale,paypal,overnight,completed,
O700136,C105747,2025-07-03 09:29:00,android,direct,summer_splash,card,expedited,completed,S50992
O700137,C104666,2025-11-27 21:32:57,android,paid_search,always_on,card,expedited,completed,S50943
O700138,C100819,2025-10-16 23:27:43,ios,paid_social,none,card,expedited,completed,S50619
O700139,C101777,2025-09-22 15:47:15,web,paid_social,holiday_push,card,standard,completed,S50022
O700140,C106163,2025-12-09 08:37:34,web,organic,none,card,standard,completed,
O700141,C103714,2025-09-28 21:39:23,web,email,none,card,standard,completed,S50288
O700142,C104521,2025-11-20 16:27:59,web,email,fall_event,paypal,standard,completed,
O700143,C103559,2025-02-27 10:44:21,ios,organic,none,card,expedited,returned,S50775
O700144,C102638,2025-03-24 18:27:45,android,referral,none,card,standard,completed,S50442
O700145,C103794,2025-08-27 14:54:06,web,referral,summer_splash,card,expedited,completed,S50552
O700146,C104117,2025-09-12 03:31:47,web,direct,none,apple_pay,overnight,completed,S50681
O700147,C106609,2025-01-25 15:28:24,ios,organic,fall_event,card,standard,completed,S50125
O700148,C105741,2025-11-12 10:53:37,android,paid_search,none,card,expedited,completed,S50634
O700149,C101168,2025-10-09 13:08:01,web,paid_search,none,card,standard,completed,S50952
O700150,C102625,2025-02-09 23:28:30,web,direct,none,card,standard,completed,
O700151,C101871,2025-05-24 14:51:35,web,organic,spring_sale,paypal,standard,completed,S50310
O700152,C105734,2025-04-18 22:30:26,web,direct,spring_sale,card,standard,completed,S50912
O700153,C102637,2025-03-06 08:45:40,web,direct,always_on,card,standard,completed,S50599
O700154,C103130,2025-04-29 07:07:15,web,referral,none,google_pay,expedited,completed,
O700155,C100730,2025-04-17 01:29:52,web,paid_search,none,apple_pay,standard,completed,S51191
O700156,C107163,2025-05-29 04:19:25,android,paid_search,fall_event,paypal,expedited,completed,
O700157,C107508,2025-08-21 04:02:33,ios,direct,summer_splash,apple_pay,expedited,completed,
O700158,C105200,2025-12-07 18:58:12,web,direct,none,card,expedited,completed,S50482
O700159,C105489,2025-07-02 16:22:27,ios,paid_social,spring_sale,card,expedited,completed,S50387
O700160,C102039,2025-10-31 20:35:29,ios,paid_search,none,card,expedited,completed,
O700161,C105103,2025-02-08 09:30:55,web,paid_search,none,paypal,standard,completed,
O700162,C101929,2025-10-23 23:16:16,android,direct,fall_event,google_pay,standard,completed,S51064
O700163,C102420,2025-10-04 01:54:36,android,referral,none,paypal,standard,completed,S51141
O700164,C100222,2025-02-07 00:03:31,ios,direct,none,card,standard,cancelled,S50635
O700165,C100032,2025-08-17 09:52:03,web,direct,always_on,card,expedited,completed,
O700166,C101097,2025-06-26 09:08:37,ios,referral,spring_sale,paypal,expedited,completed,
O700167,C105242,2025-09-07 04:46:41,ios,direct,always_on,card,overnight,returned,
O700168,C104006,2025-05-27 15:12:54,web,direct,holiday_push,google_pay,standard,completed,S50752
O700169,C102985,2025-04-17 15:58:59,web,direct,none,card,standard,completed,S50854
O700170,C105545,2025-09-12 17:41:54,ios,direct,spring_sale,card,standard,completed,S51190
O700171,C105252,2025-01-03 11:23:47,ios,email,fall_event,google_pay,expedited,completed,S50537
O700172,C105975,2025-10-07 01:42:54,android,direct,none,card,standard,completed,S50375
O700173,C107036,2025-11-19 23:16:23,web,organic,none,paypal,standard,completed,
O700174,C107199,2025-03-10 17:56:07,web,paid_social,always_on,card,expedited,returned,
O700175,C102402,2025-10-20 22:10:36,ios,email,holiday_push,paypal,standard,completed,
O700176,C104490,2025-02-15 18:04:42,ios,organic,fall_event,apple_pay,standard,completed,
O700177,C100788,2025-01-28 11:27:03,ios,direct,none,card,overnight,completed,S50926
O700178,C102382,2025-07-03 21:51:39,ios,organic,always_on,card,standard,completed,S50183
O700179,C102657,2025-06-18 01:16:05,ios,referral,none,card,standard,returned,S50916
O700180,C103111,2025-11-04 11:24:07,android,direct,always_on,apple_pay,standard,completed,
O700181,C100904,2025-07-11 14:09:02,ios,direct,none,paypal,standard,completed,
O700182,C101845,2025-07-01 02:48:06,ios,paid_social,none,card,standard,completed,
O700183,C101594,2025-10-15 12:36:02,android,referral,always_on,paypal,standard,completed,
O700184,C107132,2025-01-02 04:06:50,ios,direct,spring_sale,card,expedited,completed,
O700185,C101309,2025-04-17 07:21:21,web,email,none,card,standard,completed,
O700186,C104177,2025-09-06 22:26:17,ios,direct,summer_splash,google_pay,expedited,completed,S51039
O700187,C103897,2025-02-27 01:15:07,android,referral,spring_sale,klarna,standard,completed,
O700188,C101954,2025-09-11 17:55:12,ios,direct,none,card,standard,cancelled,
O700189,C105643,2025-09-07 22:26:15,web,organic,none,card,standard,completed,S50109
O700190,C106745,2025-03-09 09:45:04,web,direct,none,google_pay,standard,completed,
O700191,C106196,2025-12-23 08:55:43,android,paid_search,fall_event,card,standard,completed,
O700192,C102337,2025-09-18 21:18:56,android,referral,none,card,standard,returned,S50720
O700193,C102322,2025-06-04 09:24:54,web,organic,fall_event,paypal,standard,completed,S50649
O700194,C102441,2025-07-14 11:34:41,android,paid_search,none,google_pay,standard,returned,S51142
O700195,C100999,2025-07-05 09:09:06,android,direct,none,card,standard,cancelled,S50416
O700196,C107609,2025-10-07 06:31:31,android,referral,none,google_pay,standard,completed,
O700197,C102839,2025-09-17 20:31:54,ios,email,none,paypal,overnight,completed,
O700198,C102337,2025-03-11 23:23:37,web,direct,none,card,standard,returned,S50385
O700199,C105447,2025-09-12 06:12:54,web,organic,always_on,card,standard,completed,
O700200,C104421,2025-10-29 15:43:00,android,organic,none,klarna,standard,completed,
O700201,C100305,2025-08-14 13:58:38,ios,direct,summer_splash,paypal,standard,completed,S51158
O700202,C102935,2025-01-29 03:52:50,android,organic,summer_splash,card,standard,completed,S50121
O700203,C102781,2025-08-30 13:23:40,web,email,always_on,klarna,standard,completed,S50639
O700204,C105266,2025-05-02 19:58:37,web,organic,none,apple_pay,overnight,completed,S50749
O700205,C100637,2025-10-02 05:47:12,web,paid_social,summer_splash,card,expedited,cancelled,S51067
O700206,C107629,2025-04-15 16:03:18,web,paid_social,none,klarna,standard,completed,S50986
O700207,C100097,2025-05-23 12:56:57,android,direct,summer_splash,card,standard,completed,S50874
O700208,C100430,2025-07-12 09:53:47,web,direct,spring_sale,card,expedited,cancelled,
O700209,C105585,2025-06-12 10:11:34,android,direct,summer_splash,card,standard,completed,
O700210,C102772,2025-09-27 13:26:35,android,email,fall_event,klarna,standard,returned,
O700211,C103957,2025-05-14 04:50:30,web,direct,none,card,standard,completed,
O700212,C103306,2025-09-21 09:18:50,ios,direct,none,card,standard,completed,S50882
O700213,C103310,2025-08-13 19:01:17,ios,organic,none,google_pay,standard,completed,
O700214,C103951,2025-02-06 23:30:33,ios,paid_search,holiday_push,paypal,standard,completed,S50017
O700215,C106278,2025-10-14 17:41:21,web,referral,fall_event,card,standard,completed,S50041
O700216,C105093,2025-09-04 05:44:31,ios,organic,holiday_push,apple_pay,standard,completed,S50029
O700217,C106333,2025-09-26 21:31:58,web,paid_search,spring_sale,card,standard,completed,S50992
O700218,C103759,2025-10-30 02:04:40,ios,direct,spring_sale,card,standard,completed,S51169
O700219,C103274,2025-11-23 22:10:56,android,referral,always_on,apple_pay,standard,completed,S50441
O700220,C103123,2025-02-06 19:48:46,web,paid_search,always_on,card,standard,completed,S50127
O700221,C107159,2025-11-11 01:31:23,web,direct,none,google_pay,standard,returned,
O700222,C103970,2025-01-11 05:40:38,android,paid_social,fall_event,card,standard,completed,
O700223,C102157,2025-11-22 19:06:36,web,direct,spring_sale,paypal,overnight,completed,
O700224,C103070,2025-04-02 08:16:12,web,email,summer_splash,card,standard,completed,
O700225,C101690,2025-11-12 23:12:48,web,email,none,card,expedited,completed,
O700226,C106107,2025-09-08 20:11:37,web,direct,fall_event,google_pay,standard,completed,S50064
O700227,C105183,2025-03-22 22:09:41,android,organic,none,klarna,standard,completed,S51009
O700228,C102684,2025-05-12 11:40:38,ios,paid_social,always_on,google_pay,expedited,returned,
O700229,C106287,2025-07-13 15:31:09,android,organic,none,card,expedited,completed,
O700230,C101549,2025-01-16 01:00:58,web,paid_social,none,card,standard,completed,
O700231,C101761,2025-03-11 09:03:35,web,paid_social,always_on,klarna,expedited,completed,S50271
O700232,C105495,2025-07-08 11:02:29,ios,direct,none,paypal,standard,cancelled,
O700233,C100599,2025-11-10 02:50:22,android,direct,none,paypal,standard,completed,S50161
O700234,C106862,2025-03-20 07:42:49,web,organic,always_on,card,standard,completed,
O700235,C103597,2025-11-07 04:59:30,web,referral,none,apple_pay,standard,completed,S51184
O700236,C104635,2025-05-29 05:19:01,web,referral,summer_splash,card,standard,completed,
O700237,C104888,2025-09-15 17:19:16,android,paid_search,none,card,standard,cancelled,S50452
