refund_id,order_id,order_item_id,refund_ts,refund_amount,refund_reason
RPOPXAXUJBL,O700008,O700008-1,2025-03-14 13:26:03,18.43,return
R4LHZAL40FO,O700008,O700008-2,2025-03-19 13:26:03,14.49,return
RRM6ZGEVM4O,O700008,O700008-3,2025-03-16 13:26:03,43.92,return
RG04J1WJBD4,O700015,O700015-1,2025-08-10 00:45:55,22.63,return
RMEZRRCFPLB,O700015,O700015-2,2025-08-07 00:45:55,13.11,return
R8PDD8TAIAU,O700023,O700023-1,2025-12-31 17:06:14,7.88,cancel
RK91KEGJ52T,O700050,O700050-1,2025-08-09 18:35:45,17.03,return
RC8MQ5S45NM,O700090,O700090-1,2025-11-26 16:30:03,23.13,cancel
RYH6GRBKCY7,O700112,O700112-2,2025-01-28 10:49:50,4.35,return
R56U0RKTOC1,O700112,O700112-3,2025-02-08 10:49:50,34.15,return
RTVTOKD7GD0,O700114,O700114-1,2025-10-25 23:28:32,8.59,cancel
R7BAL23IQG1,O700116,O700116-1,2025-03-20 04:14:07,7.98,cancel
R02QH4E3U4O,O700120,O700120-1,2025-03-31 09:24:22,9.79,return
R3LFUOK8CYS,O700128,O700128-1,2025-12-27 00:29:37,3.38,cancel
RDE71WOO0HL,O700143,O700143-1,2025-03-10 10:44:21,25.06,return
RP7XHZ2FDNP,O700167,O700167-2,2025-09-28 04:46:41,18.28,return
RN2V0TIW5L5,O700174,O700174-1,2025-03-20 17:56:07,80.88,return
RDYVE13GT2U,O700179,O700179-2,2025-07-02 01:16:05,91.07,return
R7SIS1BWMF8,O700188,O700188-1,2025-09-12 09:55:12,10.4,cancel
R9YQMIJAJND,O700192,O700192-1,2025-09-29 21:18:56,14.53,return
RWRJHHR6E1P,O700194,O700194-1,2025-08-04 11:34:41,9.6,return
RI5QFQ6VM3B,O700195,O700195-1,2025-07-05 21:09:06,9.57,cancel
RUW67H8F9T6,O700195,O700195-2,2025-07-07 00:09:06,18.9,cancel
RQWJ35YHKJH,O700198,O700198-1,2025-04-01 23:23:37,14.49,return
