event_id,user_id,session_id,event_time,event_type,device,referrer,country,event_index,propensity_score
e_66_0,19,66,2025-12-14 09:13:00,page_view,mobile,google,US,0,0.9517709499403507
e_66_1,19,66,2025-12-14 09:13:16,search,mobile,google,US,1,0.9517709499403507
e_66_2,19,66,2025-12-14 09:14:03,product_view,mobile,google,US,2,0.9517709499403507
e_66_3,19,66,2025-12-14 09:14:47,product_view,mobile,google,US,3,0.9517709499403507
e_66_4,19,66,2025-12-14 09:15:22,product_view,mobile,google,US,4,0.9517709499403507
e_66_5,19,66,2025-12-14 09:16:03,page_view,mobile,google,US,5,0.9517709499403507
e_66_6,19,66,2025-12-14 09:16:46,page_view,mobile,google,US,6,0.9517709499403507
e_66_7,19,66,2025-12-14 09:17:27,page_view,mobile,google,US,7,0.9517709499403507
e_66_8,19,66,2025-12-14 09:18:11,add_to_cart,mobile,google,US,8,0.9517709499403507
e_66_9,19,66,2025-12-14 09:18:27,search,mobile,google,US,9,0.9517709499403507
e_66_10,19,66,2025-12-14 09:19:25,product_view,mobile,google,US,10,0.9517709499403507
e_66_11,19,66,2025-12-14 09:19:50,page_view,mobile,google,US,11,0.9517709499403507
e_66_12,19,66,2025-12-14 09:20:17,page_view,mobile,google,US,12,0.9517709499403507
e_66_checkout,19,66,2025-12-14 09:20:48,checkout,mobile,google,US,13,0.9517709499403507
e_66_purchase,19,66,2025-12-14 09:21:28,purchase,mobile,google,US,14,0.9517709499403507
e_36_0,10,36,2025-12-14 09:23:00,page_view,mobile,affiliate,US,0,0.9779841511459548
e_36_1,10,36,2025-12-14 09:23:19,page_view,mobile,affiliate,US,1,0.9779841511459548
e_36_2,10,36,2025-12-14 09:23:38,page_view,mobile,affiliate,US,2,0.9779841511459548
e_36_3,10,36,2025-12-14 09:23:54,page_view,mobile,affiliate,US,3,0.9779841511459548
e_36_4,10,36,2025-12-14 09:24:07,product_view,mobile,affiliate,US,4,0.9779841511459548
